,match_id,player,opponent,season,match_result,indoors,total_points_won,winners,forehand_winner,backhand_winner,errors_forced,unforced_errors,unforced_errors_net,unforced_errors_long,unforced_errors_forehand,unforced_errors_backhand,forced_errors_by_opponent,forced_errors_by_opponent_net,forced_errors_by_opponent_long,break_points_total,break_points_won,aces,double_faults,double_faults_error_net,double_faults_error_long,total_serves,first_serves_in,first_serve_in_percentage,first_serves_won,first_serves_won_percentage,total_second_serves,second_serves_in,second_serves_in_percentage,second_serves_won,second_serves_won_percentage,first_serve_returns,first_serve_returns_percentage,second_serve_returns,second_serve_returns_percentage,short_rallies_won,short_rallies_won_percentage,medium_rallies_won,medium_rallies_won_percentage,long_rallies_won,long_rallies_won_percentage,service_games_total,service_games_won,service_games_won_percentage,aggressive_error_margin_1,aggressive_error_margin_2,first_serve_performance
48,6032c365420000f62117d8d3,Jaeda Daniel,Brylin,21,0,True,65,18,8,7,6,37,11,26,17,19,4,3,1,7,6,1,5,3,2,58,38,0.66,29,0.76,20,15,0.75,7,0.35,28,0.7,17,0.77,40,0.53,17,0.65,8,0.42,6,6,1.0,-13,25,19.0
49,6033029e4200003bb717d8e6,Jaeda Daniel,Tenika McGiffin,21,0,True,58,19,9,9,5,41,8,33,19,22,2,2,0,10,4,3,3,3,0,56,32,0.57,22,0.69,24,21,0.88,9,0.38,27,0.82,13,0.72,35,0.52,13,0.65,10,0.43,5,4,0.8,-17,27,12.57
50,604f8528430000356386b5bc,Jaeda Daniel,Sipek,21,0,False,53,18,7,4,12,23,5,18,9,10,2,2,0,8,6,1,2,0,2,38,28,0.74,22,0.79,10,8,0.8,4,0.4,21,0.78,12,0.8,34,0.64,12,0.75,7,0.58,4,4,1.0,7,31,16.21
51,604f876c430000376386b5c2,Jaeda Daniel,Garcia,21,0,False,57,20,14,5,22,27,11,16,18,8,11,4,7,6,4,1,2,1,1,50,29,0.58,20,0.69,21,19,0.9,15,0.71,22,0.67,11,0.79,30,0.5,19,0.68,8,0.8,5,5,1.0,15,43,11.6
52,6058b3524500001fa37c613c,Jaeda Daniel,Irani,21,0,True,64,24,12,6,6,52,17,35,28,21,12,6,6,13,4,2,4,0,4,62,38,0.61,20,0.53,24,20,0.83,12,0.5,41,0.84,19,0.9,26,0.41,14,0.44,24,0.59,10,5,0.5,-22,32,12.26
53,6058b71045000007a37c6146,Jaeda Daniel,Ramirez,21,0,False,88,23,11,3,0,56,23,33,25,27,5,3,2,12,7,3,11,8,3,86,41,0.48,21,0.51,45,34,0.76,26,0.58,49,0.84,17,0.71,62,0.52,16,0.41,10,0.62,12,8,0.67,-33,26,10.01
54,6070d3914500003093fd24c4,Jaeda Daniel,Andreini,21,0,False,53,20,12,1,4,29,9,20,14,14,0,0,0,6,6,3,2,1,1,44,22,0.5,15,0.68,22,20,0.91,12,0.55,25,0.83,8,0.89,27,0.56,16,0.62,10,0.91,8,6,0.75,-5,27,7.5
55,607392b64600001fe3201799,Jaeda Daniel,Shaikh,21,0,False,53,8,6,0,9,32,7,25,17,13,10,6,4,13,6,6,1,0,1,46,29,0.63,21,0.72,17,16,0.94,6,0.35,27,0.82,13,0.81,34,0.59,11,0.5,8,0.44,8,5,0.62,-15,23,13.24
56,610c36a03f0000d14fafd468,Jaeda Daniel,Davidescu,21,0,True,48,13,9,3,2,11,5,6,9,1,1,0,1,6,6,1,2,0,2,31,16,0.52,12,0.75,15,13,0.87,12,0.8,18,0.95,12,0.92,35,0.76,10,0.77,3,0.43,3,3,1.0,4,16,6.19
57,611d1a5f410000aa020b8126,Jaeda Daniel,Hsieh,21,0,False,71,18,10,4,14,28,7,21,20,8,15,6,9,7,6,2,9,5,4,71,40,0.56,22,0.55,31,22,0.71,16,0.52,33,0.89,19,0.86,40,0.48,24,0.62,7,0.7,6,5,0.83,4,34,12.39
58,6140be1c4200008fd43825ad,Jaeda Daniel,Schech,22,0,False,54,7,2,4,17,20,6,14,12,7,10,7,3,8,6,3,3,0,3,44,16,0.36,10,0.62,28,25,0.89,17,0.61,22,0.76,14,0.93,33,0.54,15,0.75,6,0.6,8,6,0.75,4,27,3.64
59,6140bffe4200008dd43825b3,Jaeda Daniel,Cassie Wooten,22,0,False,64,13,8,3,16,27,7,20,14,11,8,5,3,8,5,1,6,1,5,57,31,0.54,22,0.71,26,20,0.77,14,0.54,17,0.81,23,0.74,40,0.54,16,0.62,8,0.73,5,5,1.0,2,30,11.96
60,62150c434500004900cc8882,Jaeda Daniel,Ovunc,22,0,True,72,15,11,0,4,28,7,21,19,9,3,2,1,15,5,2,6,2,4,57,27,0.47,19,0.7,30,24,0.8,19,0.63,28,0.8,20,0.83,52,0.6,16,0.67,4,0.4,6,6,1.0,-9,21,9.0
61,6217adca42000032002ff9b1,Jaeda Daniel,Ma,22,0,True,33,14,5,2,1,40,14,26,23,13,1,0,1,3,0,1,9,5,4,46,20,0.43,13,0.65,26,17,0.65,8,0.31,17,0.85,15,0.79,16,0.32,10,0.5,7,0.44,4,2,0.5,-25,16,5.65
62,6218fb284200004a002ff9ee,Jaeda Daniel,Cameron Morra,22,0,True,77,32,15,2,17,47,16,31,28,14,23,13,10,14,7,3,15,5,10,78,30,0.38,16,0.53,48,33,0.69,19,0.4,41,0.75,21,0.72,40,0.37,24,0.67,13,0.54,5,4,0.8,2,52,6.15
63,5e24b0271b0000340e48c295,Lana Mavor,Scott,20,0,True,56,12,3,4,4,30,13,17,13,16,4,1,3,10,5,0,0,0,0,47,35,0.74,22,0.63,12,12,1.0,8,0.67,25,0.66,10,0.91,32,0.5,14,0.64,10,0.77,5,5,1.0,-14,16,16.38
64,5e2b29c41800001f7e6eb544,Lana Mavor,Zaccarias,20,0,True,42,10,1,4,3,23,12,11,10,13,2,0,2,8,3,0,4,3,1,44,31,0.7,17,0.55,13,10,0.77,7,0.54,21,0.95,11,1.0,27,0.54,11,0.55,4,0.44,5,4,0.8,-10,13,11.98
65,5e2b2f02180000b77e6eb54d,Lana Mavor,Rettich,20,0,True,71,15,3,9,7,20,9,11,9,11,13,9,4,12,7,1,2,0,2,65,44,0.68,27,0.61,21,19,0.9,8,0.38,29,0.81,22,0.92,41,0.51,22,0.67,8,0.57,6,5,0.83,2,23,18.28
66,5e3781f11e0000831de05812,Lana Mavor,Ribes,20,0,True,46,8,3,3,4,32,17,15,18,13,5,3,2,7,2,2,3,1,2,57,38,0.67,24,0.63,19,16,0.84,3,0.16,29,0.78,12,1.0,34,0.47,8,0.38,4,0.27,5,3,0.6,-20,14,16.0
67,5e5d9d001e0000d0809b3743,Lana Mavor,Gullickson,20,0,False,32,1,0,0,0,38,11,27,10,28,2,2,0,4,2,0,1,0,1,43,28,0.65,10,0.36,15,14,0.93,5,0.33,19,0.86,14,0.88,18,0.39,9,0.45,5,0.26,4,0,0.0,-37,1,6.51
68,6014330c420000dd575aebad,Lana Mavor,Delozire,21,0,True,37,9,6,2,7,13,4,9,3,9,2,2,0,7,4,0,1,0,1,29,16,0.55,12,0.75,13,12,0.92,8,0.62,16,0.8,5,1.0,24,0.67,7,0.58,6,1.0,5,5,1.0,3,16,6.62
69,6018328d420000d3d95aec2e,Lana Mavor,Poggi,21,0,True,53,12,4,5,0,19,3,16,6,12,0,0,0,10,5,2,2,1,1,33,25,0.76,23,0.92,8,6,0.75,5,0.62,29,1.0,12,1.0,37,0.71,15,0.75,1,0.33,7,7,1.0,-7,14,17.42
70,5e21fd2d21000021540175c1,Lexi Keberle,Larri,20,0,False,51,11,8,0,1,29,11,18,11,16,0,0,0,8,5,2,0,0,0,45,34,0.76,22,0.65,11,11,1.0,6,0.55,19,0.7,17,1.0,26,0.58,13,0.62,12,0.5,8,7,0.88,-17,14,16.62
71,5e21f67b2100007b530175be,Lexi Keberle,Dillon,20,0,False,59,12,8,2,7,19,7,12,6,13,2,1,1,10,5,0,0,0,0,43,27,0.63,18,0.67,16,16,1.0,12,0.75,27,0.9,10,0.83,36,0.69,14,0.74,9,0.53,8,7,0.88,0,19,11.3
72,5e2c5fe9180000b0b96eb57b,Lexi Keberle,Smirnova,20,0,False,48,2,1,0,7,4,1,3,2,2,10,6,4,8,6,0,0,0,0,37,23,0.62,13,0.57,14,14,1.0,11,0.79,18,0.82,14,0.93,37,0.66,9,0.6,2,0.33,3,3,1.0,5,9,8.08
73,5e2c63751800006dba6eb581,Lexi Keberle,Kezuka,20,0,False,62,12,8,3,14,15,6,9,11,3,7,2,5,9,7,0,1,0,1,52,42,0.81,25,0.6,10,9,0.9,4,0.4,33,0.89,10,0.83,28,0.52,25,0.71,9,0.56,9,5,0.56,11,26,20.19
74,5e361e911a0000c3e91ba499,Lexi Keberle,Zein,20,0,False,59,5,2,1,2,40,14,26,24,14,2,2,0,8,5,0,2,2,0,63,45,0.71,24,0.53,18,16,0.89,7,0.39,30,0.86,19,0.79,29,0.43,20,0.61,10,0.4,5,4,0.8,-33,7,17.14
75,5e37818f1e00007d1de05811,Lexi Keberle,Karvouni,20,0,True,57,21,16,2,2,15,5,10,10,3,1,0,1,6,4,0,2,1,1,48,28,0.58,24,0.86,20,18,0.9,11,0.55,30,0.97,9,1.0,22,0.65,16,0.55,19,0.73,9,8,0.89,8,23,14.0
76,5e5ae2281b00001be53e656e,Lexi Keberle,Anna Campana,20,0,False,29,3,2,1,1,25,10,15,12,13,7,4,3,4,2,0,2,2,0,43,35,0.81,14,0.4,8,6,0.75,1,0.12,24,0.83,9,0.9,20,0.43,5,0.26,4,0.24,4,1,0.25,-21,4,11.4
77,5e5d9d3e1e000011819b3744,Lexi Keberle,Munera,20,0,False,35,4,1,1,7,27,10,17,12,15,9,5,4,7,2,0,1,0,1,46,30,0.65,11,0.37,16,15,0.94,7,0.44,24,0.77,8,0.89,17,0.41,9,0.39,9,0.36,8,2,0.25,-16,11,7.17
