match_id,player,opponent,season,match_result,indoors,total_points_won,winners,forehand_winner,backhand_winner,errors_forced,unforced_errors,unforced_errors_forehand,unforced_errors_backhand,forced_errors_by_opponent,break_points_total,break_points_won,aces,double_faults,total_serves,first_serves_in,first_serve_in_percentage,first_serves_won,first_serves_won_percentage,total_second_serves,second_serves_in,second_serves_in_percentage,second_serves_won,second_serves_won_percentage,first_serve_returns,first_serve_returns_percentage,second_serve_returns,second_serve_returns_percentage,short_rallies_won,short_rallies_won_percentage,medium_rallies_won,medium_rallies_won_percentage,long_rallies_won,long_rallies_won_percentage,service_games_total,service_games_won,service_games_won_percentage,unforced_errors_net,unforced_errors_long,forced_errors_by_opponent_net,forced_errors_by_opponent_long,double_faults_error_net,double_faults_error_long,aggressive_error_margin_1,aggressive_error_margin_2,first_serve_performance
6140be2342000090d43825b1,Abigail Rencheli,Samantha Martinelli ,22,Win,False,52,21,10,7,1,24,12,11,1,8,7,0,4,42,22,0.52,14,0.64,20,16,0.8,9,0.45,20,0.83,15,0.79,34,0.54,15,0.68,3,1.0,7,5,0.71,10,14,0,1,0,4,-2,-6,7.33
62150d094500004900cc8885,Abigail Rencheli,Arsenault,22,Loss,True,46,9,5,3,3,42,21,21,1,3,2,3,9,54,30,0.56,21,0.7,24,15,0.62,6,0.25,21,0.62,13,0.65,34,0.41,7,0.35,5,0.56,9,5,0.56,12,30,0,1,6,3,-30,-36,11.67
6218fbae4200004a002ff9ef,Abigail Rencheli,Scotty,22,Win,True,58,17,6,7,3,27,13,14,3,12,6,1,5,52,33,0.63,18,0.55,19,14,0.74,11,0.58,24,0.86,12,0.63,41,0.57,9,0.5,8,0.73,9,6,0.67,11,16,2,1,3,2,-7,-11,11.42
621cf0054300008a6e219d84,Abigail Rencheli,Reasco,22,Incomplete,True,82,23,9,5,10,61,41,17,5,13,6,0,4,75,37,0.49,25,0.68,38,34,0.89,15,0.39,56,0.82,13,0.81,33,0.43,29,0.62,20,0.53,10,7,0.7,24,37,3,2,2,2,-28,-32,12.33
5d94152f1800002f5dcaa8f4,Jaeda Daniel,Thamchaiwait,20,Loss,False,46,10,4,4,12,32,11,21,7,9,4,1,4,54,35,0.65,15,0.43,19,15,0.79,7,0.37,32,0.94,11,0.85,21,0.4,11,0.42,14,0.54,10,3,0.3,9,23,3,4,0,4,-10,-13,9.72
5d976bb4210000975ba3449c,Jaeda Daniel,Tenika McGiffin,20,Loss,False,46,13,2,6,5,33,10,21,8,10,3,0,8,49,23,0.47,15,0.65,26,18,0.69,5,0.19,30,0.91,16,0.89,26,0.5,11,0.31,9,0.56,5,3,0.6,9,24,5,3,5,3,-15,-23,7.04
5d9419fc180000195ecaa8f7,Jaeda Daniel,Sharma,20,Loss,False,33,8,2,2,7,24,15,8,12,5,3,0,6,44,31,0.7,9,0.29,13,7,0.54,3,0.23,26,0.84,5,0.71,22,0.41,8,0.42,3,0.27,4,0,0.0,4,20,6,6,4,2,-9,-15,6.34
5e250a9e1b0000701d48c2a6,Jaeda Daniel,Asensi,20,Win,True,55,20,8,9,21,16,9,6,11,10,7,2,4,42,31,0.74,22,0.71,11,7,0.64,2,0.18,26,0.84,13,0.87,31,0.6,12,0.52,12,0.8,8,5,0.62,4,12,5,6,1,3,25,23,16.24
5e24af1a1b00001f0e48c293,Jaeda Daniel,Schech,20,Win,True,49,9,5,3,5,19,13,6,6,7,5,0,1,41,27,0.66,22,0.81,14,13,0.93,6,0.43,19,0.86,11,0.85,35,0.65,11,0.58,3,0.43,4,4,1.0,8,11,4,2,0,1,-5,-6,14.49
5e2b2851180000b77d6eb542,Jaeda Daniel,Earnhardt,20,Win,True,71,33,12,1,12,39,24,7,9,9,6,2,5,68,46,0.68,28,0.61,22,17,0.77,11,0.5,34,0.87,12,0.75,35,0.51,26,0.67,10,0.56,6,5,0.83,15,24,6,3,0,5,6,3,18.94
